date,inflows_1,inflows_2,inflows_3,inflows_4,inflows_5,inflows_6,inflows_7,inflows_8,inflows_9,total_inflows,outflows_1,outflows_2,outflows_3,outflows_4,outflows_5,total_outflows
6/19/2018,9799269.0,4286417.0,7019773.04,354012.81,6039238.0,2742086.5,391562.2,3639850.05,8547162.0,42819370.6,-6979659.7,-9123084.0,-2903136.0,-5482360.0,-9146639.0,-33634878.7
4/5/2018,3076391.0,4491387.0,5729351.06,5906952.0,1800057.11,3477432.03,2244146.3,2682081.76,5730981.81,35138780.07,-1835540.05,-7226768.71,-1819416.0,-9320716.0,-2125796.37,-22328237.13
5/13/2018,5057402.01,4541416.0,1768230.78,3542200.0,2756992.34,5110398.0,5000406.0,1079348.74,4852780.92,33709174.79,-9381793.0,-1071398.0,-106782.0,-8665988.0,-5714514.0,-24940475.0
9/3/2018,9769886.0,7941704.0,3689088.51,8032819.34,3471293.13,5158990.39,7899011.81,542465.42,859029.55,47364288.15,-2753018.0,-7966274.0,-8331167.05,-3921715.84,-873805.0,-23845979.89
3/25/2018,36421.16,2121350.0,6978697.05,1502337.02,8355782.0,1519025.6,4580552.0,7036625.93,4457751.86,36588542.62,-2582724.0,-5303506.17,-5281968.0,-6743300.0,-7220977.0,-27132475.17
9/6/2018,8136601.04,9759773.0,216675.03,525047.07,6321806.73,3439857.59,1886321.76,9845116.0,5014999.01,45146197.23,-5549175.0,-4573216.86,-3634166.41,-9736811.0,-6891680.0,-30385049.27
11/1/2018,4884116.0,5061066.66,4370265.85,9921831.0,6347793.67,7431905.03,8585890.0,269783.75,4422268.22,51294920.18,-6816352.0,-3453018.16,-9390230.0,-9512145.0,-9005065.0,-38176810.16
4/3/2018,7852370.0,4417891.0,9111023.0,6521456.0,407133.4,3722069.98,1716377.74,6113324.36,6930141.1,46791786.58,-8296397.0,-7498429.0,-6354382.94,-5950901.96,-4899940.25,-33000051.15
10/1/2018,3609864.48,437633.42,61443.66,7282922.0,256841.79,6299831.0,2684025.08,6725741.61,1144293.74,28502596.78,-173701.0,-3570632.74,-8783086.0,-1453748.0,-1520737.0,-15501904.74
9/11/2018,1888161.74,7694835.0,3301674.55,2409675.41,8968285.0,9202798.0,8447107.0,8414843.0,2874768.43,53202148.13,-3667269.79,-6469663.0,-8177485.78,-393460.0,-4458930.29,-23166808.86
7/19/2018,8313766.0,4133954.0,598987.86,3358179.0,5940111.0,8418472.0,846527.52,8807632.0,4631600.08,45049229.46,-7900058.0,-72549.0,-7836842.49,-2874447.0,-3718.0,-18687614.49
11/29/2018,1292959.92,2095848.62,2276927.16,6903472.0,995615.93,8165521.15,1897073.53,9656789.0,2385680.47,35669887.78,-2649289.71,-2913059.0,-4818000.39,-8063007.0,-3709521.19,-22152877.29
3/10/2018,960562.94,8815735.0,9124820.0,5953562.0,9706266.0,1543151.55,7828228.33,5556625.0,479064.9,49968015.72,-4327699.0,-9307947.0,-5409872.82,-6522682.0,-4325961.0,-29894161.82
1/4/2018,8550883.0,6011468.96,3254544.49,1880051.75,1254445.62,2599911.63,1319101.9,6923506.0,1847552.86,33641466.21,-4650086.22,-5547401.0,-8401093.0,-3754904.0,-5049594.0,-27403078.22
3/23/2018,1467754.22,3774726.0,4377538.0,752187.95,9961536.0,7183187.28,2361086.06,1797543.38,8846694.0,40522252.89,-9796996.0,-833677.0,-3579730.52,-2980427.0,-2840285.0,-20031115.52
10/3/2018,5135274.0,8712358.0,2523534.0,9463185.0,9407279.0,6220241.38,737660.72,2510272.71,1007465.41,45717270.22,-4610637.0,-2546720.0,-1161322.0,-6739048.0,-2895545.51,-17953272.51
2/3/2018,7730666.0,9785069.0,3472801.87,9310511.0,6314539.16,5495357.0,2997606.94,1409954.21,7640775.55,54157280.73,-386259.0,-7706880.0,-8836824.0,-7582147.0,-3760216.86,-28272326.86
8/3/2018,9562344.0,4731732.69,2902220.54,675267.57,1070622.06,1008997.38,3404029.0,5461649.0,3031746.4,31848608.64,-976276.0,-2506193.28,-9568478.0,-186870.0,-7679621.0,-20917438.28
8/12/2018,4443776.0,763999.4,1890765.74,763816.08,9665718.0,3567557.9,810122.84,2417008.09,6919676.6,31242440.65,-1272137.0,-1987285.97,-2417110.0,-1364298.0,-4666700.0,-11707530.97
10/9/2018,2683839.71,5015381.13,865364.61,6431132.0,5003145.85,1844634.71,3580164.0,9565918.0,6505005.0,41494585.01,-8065969.99,-7960329.0,-6414247.0,-8371355.0,-2184709.0,-32996609.99
6/5/2018,2210582.1,6881505.0,7260904.0,674823.73,4603589.45,7765216.27,253113.13,8508302.0,8997626.0,47155661.68,-7920127.57,-2856193.56,-7389629.96,-1942830.29,-5336217.17,-25444998.55
1/6/2018,8726461.0,7046133.0,7492849.13,6001138.0,2935937.35,8260866.0,8040738.0,5652030.0,8672463.0,62828615.48,-8439218.0,-6320384.0,-6570056.0,-3441102.41,-5538985.0,-30309745.41
5/20/2018,1395607.22,9884367.0,7780206.0,2701724.28,1617774.45,8140616.0,3571497.14,2854473.29,2343782.0,40290047.38,-9773426.0,-161860.0,-9403033.0,-5706963.0,-8489694.0,-33534976.0
3/15/2018,3764318.0,7958888.0,2111690.76,7513188.64,359919.52,879560.48,2746416.07,9189786.0,2577894.84,37101662.31,-2555724.0,-2285308.0,-6856125.0,-7936156.93,-1890364.0,-21523677.93
8/7/2018,6321241.65,6116655.0,7581104.61,4291762.6,3500593.42,7649794.0,5908497.0,1029923.18,578714.92,42978286.38,-8858144.0,-3028000.0,-785497.0,-3872831.18,-8178406.0,-24722878.18
11/4/2018,8998977.0,4864298.0,2224578.03,1634843.38,7697695.0,3695961.96,2981743.83,5331820.0,2657605.91,40087523.11,-8826366.0,-4429566.0,-2360770.0,-7260768.0,-8522227.0,-31399697.0
9/21/2018,2724677.47,1271076.0,5599177.0,3996859.48,9963040.0,3454613.6,8789721.0,9859385.0,4511562.0,50170111.55,-2313239.61,-775672.0,-472556.0,-1048667.0,-4053326.61,-8663461.22
9/20/2018,7968755.0,4284360.0,7566924.0,43886.05,6053583.1,4632832.0,8105255.81,3387041.0,7372951.0,49415587.96,-7391415.0,-145054.0,-9273543.0,-4587071.86,-1547704.0,-22944787.86
12/3/2018,1454882.5,1842616.15,6416467.42,8405741.0,2958151.64,2561823.56,2419575.32,8163755.86,1345874.77,35568888.22,-1702220.28,-1063885.0,-4777494.44,-4502756.0,-4947840.21,-16994195.93
5/27/2018,3334942.99,840696.49,786399.53,6551737.23,700428.84,6378491.0,8977426.0,7639221.0,5473896.0,40683239.08,-5777799.0,-8679092.0,-8296264.0,-36024.0,-6959663.0,-29748842.0
10/21/2018,868524.74,8433222.0,2773686.31,822368.0,6719074.01,3293734.0,6988032.47,295760.48,8216130.0,38410532.01,-8437611.0,-621613.0,-9261013.0,-1670910.3,-5304921.25,-25296068.55
4/18/2018,3397353.29,9873592.0,9821445.0,6572724.03,2513796.22,6508272.59,8710056.0,6893100.56,8856035.0,63146374.69,-7010619.62,-3023547.0,-8489780.0,-5250679.16,-3768733.0,-27543358.78
