inflows_1,inflows_2,inflows_3,inflows_4,inflows_5,inflows_6,inflows_7,inflows_8,inflows_9,total_inflows,outflows_1,outflows_2,outflows_3,outflows_4,outflows_5,total_outflows
5836781.0,9497595.0,3234834.19,2782387.0,4330626.0,7098658.54,7156424.0,2354927.18,3725205.48,46017438.39,-8609204.0,-8186005.0,-3689705.21,-1544526.0,-4086431.46,-26115871.67
1764784.31,9376560.0,5985756.0,2292157.0,7926739.0,372196.5,646013.0,175220.78,4146236.58,32685663.17,-1603092.0,-570390.0,-5353288.0,-3929409.0,-6738299.0,-18194478.0
1477517.4,1530561.23,9746879.0,1773819.95,7072407.0,6479580.0,1190915.76,346388.4,6465563.01,36083631.75,-7453015.0,-4858771.0,-6606807.0,-5580271.69,-8701893.0,-33200757.69
7690434.23,5416267.62,3286175.81,4527891.0,9684006.0,9375988.0,2458943.19,1640030.16,9435265.0,53515001.01,-4303140.0,-4461187.0,-8736417.0,-4151864.0,-3932071.19,-25584679.19
6204817.0,2460693.25,4211106.0,1193869.65,5138012.0,9715388.0,6404098.45,1362098.41,1332692.21,38022774.97,-2734487.1,-3420760.0,-1877420.21,-2211874.0,-155300.0,-10399841.31
1701891.0,9751252.0,6330862.29,3174413.92,9120419.0,6675340.85,1788797.91,7554026.0,7045440.0,53142442.97,-7113835.0,-5719832.0,-5014082.59,-2882792.0,-4960855.0,-25691396.59
2787480.63,1807990.92,1471065.43,6352855.0,9942235.0,7082680.0,1618757.86,4379862.0,7131952.0,42574878.84,-5951809.0,-8032489.0,-7691030.77,-8842391.0,-7444979.0,-37962698.77
6391109.32,474134.29,778422.62,9134473.0,5159350.5,7550463.0,4579120.68,6528716.62,3806988.15,44402778.18,-9426879.0,-1839181.0,-7199850.0,-4307259.61,-3021594.0,-25794763.61
7154602.0,8006073.0,1098934.43,5835173.0,7946839.0,6088819.0,9993205.0,2767996.62,2174452.0,51066094.05,-6757779.0,-8123391.0,-3298317.0,-3304610.0,-3352716.73,-24836813.73
3666720.68,1579800.38,6001752.0,4329388.0,419633.01,1503090.04,1850395.9,2702629.92,2736891.0,24790300.93,-8115770.0,-8347896.0,-3813404.0,-5528164.0,-5331647.75,-31136881.75
