date,inflows_1,inflows_2,inflows_3,inflows_4,inflows_5,inflows_6,inflows_7,inflows_8,inflows_9,total_inflows
12/14/2018,4482215.0,1876024.66,8399862.0,5811397.15,4718288.0,4985185.0,8316090.21,2020491.79,1023857.4,41633411.21
5/13/2018,6719439.81,679937.24,628351.93,4624750.92,4090607.0,4901013.47,9366254.0,502373.65,8897066.0,40409794.02
6/18/2018,9992994.0,3006318.77,6417552.0,3288717.65,5508768.0,7000304.0,6831942.0,2195031.78,5207881.04,49449509.24
4/27/2018,7819774.77,5727935.0,1283623.07,3161000.0,6069615.55,4853403.0,19181.61,5164661.0,8173321.0,42272515.0
10/27/2018,7758896.92,5014474.0,513841.38,4019255.0,7959330.0,9877884.0,4529686.0,5635099.0,2715661.0,48024127.3
4/18/2018,4633392.86,9285394.0,5745616.0,1119803.7,2725583.96,3673278.0,770583.56,1082930.1,5442729.1,34479311.28
6/9/2018,234261.45,8014972.6,7360278.0,7879689.6,8802657.0,1740788.85,9087840.0,9093625.0,320019.13,52534131.63
12/24/2018,6921669.02,9353577.0,5651506.0,4273092.33,3068695.39,2032796.62,5579827.43,1529617.66,7563813.0,45974594.45
2/25/2018,4201450.0,6059229.47,2960463.59,5716925.0,1857316.0,3086090.0,6069870.0,3066146.95,7364114.0,40381605.01
12/19/2018,1189912.22,9374653.0,7239527.44,1153364.64,1082260.18,2574715.0,1933306.76,5014259.0,9724937.0,39286935.24
9/11/2018,3658474.0,1156119.0,8507996.0,7218359.81,5318290.0,6330298.48,74061.87,636687.25,1899754.8,34800041.21
9/16/2018,9896884.0,566196.34,4357110.0,3636037.0,4081450.17,832201.97,3745202.0,7051904.8,4629845.0,38796831.28
8/31/2018,2789479.75,3694870.0,7422538.0,1158317.02,9695576.0,6746648.24,440202.91,6445926.98,9934421.0,48327979.9
6/15/2018,3279197.87,597828.6,5037199.0,3749997.0,1335913.39,345240.06,2606320.0,7415169.04,2380185.0,26747049.96
4/27/2018,6842157.0,6108183.33,4339064.61,7894246.78,3869280.38,2357258.01,486162.55,1607499.65,3115643.13,36619495.44
11/21/2018,7661898.0,6192755.0,3284290.35,5105812.28,6179436.0,1609897.71,8120099.21,4543559.0,5743000.93,48440748.48
3/14/2018,7719171.03,3875623.0,1676060.56,5836077.0,6672428.0,2717167.33,4594900.0,3452658.04,6660874.72,43204959.68
9/3/2018,859498.0,5810079.95,4201637.0,4782066.1,3957058.45,8839265.0,6698873.0,7570690.08,9813286.0,52532453.58
8/14/2018,7051541.24,4045873.09,9465045.0,5841832.04,3826360.0,7886606.33,9266772.0,7507273.0,7816372.0,62707674.7
11/20/2018,1744095.6,1699783.77,1160711.0,4344048.0,1353841.48,8059574.0,8674519.0,2683817.09,3561879.82,33282269.76
4/13/2018,227665.67,4016605.4,5478595.1,1208739.02,2380594.17,6977028.97,4579850.57,2007466.04,8597272.0,35473816.94
4/26/2018,5480047.0,3361717.0,4395684.0,3485893.51,8948747.0,9399308.0,599329.29,7143392.96,3841886.0,46656004.76
10/5/2018,1627870.0,3277608.0,4448081.0,8077487.24,4115904.26,805677.16,8267681.54,4328669.0,5571370.75,40520348.95
5/27/2018,9764811.0,2198639.25,2318150.23,332011.33,6582077.0,4317312.7,2449839.61,2004021.61,5676320.0,35643182.73
11/6/2018,8549774.0,1359704.82,5581184.69,2647554.71,8746586.0,7736414.0,1318957.49,3672104.95,1637252.32,41249532.98
12/7/2018,4700625.02,6294738.0,4026381.0,4356755.0,2206109.21,2728087.0,2081362.14,1346761.16,6383487.0,34124305.53
12/10/2018,1626723.03,5659514.0,4783466.7,9505823.0,3709274.42,6546408.39,4419637.0,656702.69,3301834.24,40209383.47
8/24/2018,2872456.38,7825296.4,1733075.79,8987790.0,7534204.24,5237326.0,5734115.34,8385479.0,5135291.0,53445034.15
11/27/2018,3287085.54,6333648.69,929780.19,4261801.0,3905450.9,1072210.76,1799104.17,292358.3,5814337.45,27695777.0
2/18/2018,8683559.0,5912863.0,6327597.0,9739563.0,1953397.0,7455142.31,9878819.0,4269544.0,2079291.18,56299775.49
7/15/2018,7316430.0,6611367.0,5317087.0,1984988.52,8942879.0,4948558.79,4019143.0,1999897.91,5508624.66,46648975.88
4/20/2018,2063453.22,2498010.57,1544695.55,757284.0,2746158.0,2670622.1,6900441.0,8947730.0,5797394.78,33925789.22
8/3/2018,5041031.98,5507467.0,3079616.29,1409715.0,2135770.0,7958876.52,1907900.25,9109069.0,95197.66,36244643.7
11/22/2018,1089974.87,7498159.0,2015718.57,7776137.0,6463716.94,3357009.01,6487208.38,7498034.0,14819.58,42200777.35
4/30/2018,4112011.99,5938102.0,8263122.16,4633923.82,5928753.0,3051062.68,5594674.7,9838459.0,4805293.16,52165402.51
2/23/2018,951411.0,3375435.13,4942403.93,5604880.0,6411505.92,9750614.0,4288831.0,4194519.47,6047647.95,45567248.4
