date,inflows_1,inflows_2,inflows_3,inflows_4,inflows_5,inflows_6,inflows_7,inflows_8,inflows_9,outflows_1,outflows_2,outflows_3,outflows_4,outflows_5
11/18/2018,8046301.91,6604892.87,4462373.0,334295.62,6487625.9,2712342.72,9947010.0,3875006.47,4319824.62,-1736572.0,-3968288.58,-9822521.0,-6427363.92,-9567414.0
4/22/2018,5913421.1,3070530.0,3675171.0,9861724.0,3908750.0,8738929.0,3912142.35,3661832.0,2813104.71,-5589766.9,-9806228.0,-1758804.0,-2716285.0,-2598195.0
9/27/2018,6493343.0,4460729.0,349002.24,1690532.05,7712979.0,4888582.66,7864402.68,7624904.0,2509054.26,-1905478.7,-5686992.98,-6411992.0,-1158735.0,-8781436.0
8/23/2018,5512088.0,5208809.0,6336013.67,3325072.43,64524.98,8364646.0,9067081.0,192802.41,6422354.0,-2920535.0,-9947668.0,-9394155.0,-1937576.72,-6868126.0
4/14/2018,252907.48,629860.11,5043619.01,3035392.74,8820891.0,5083284.0,4799846.2,7290410.0,9439577.0,-8611314.0,-5221376.85,-7802313.0,-4376976.62,-7931227.0
7/6/2018,8217745.62,8335623.75,4414148.0,1088220.81,5994315.0,1927842.94,9981473.0,7849656.0,4332989.04,-7101488.62,-1950050.94,-7975452.0,-5653811.0,-9911391.0
5/30/2018,3822785.22,6211214.26,8946146.0,9758497.0,3971851.06,1160698.89,4602277.31,1225489.39,6262912.16,-3962833.0,-1316010.0,-6338608.0,-2692460.0,-4338912.0
4/6/2018,130893.99,1616827.0,9201540.0,2776453.8,3501769.7,8760131.0,4778948.11,7519707.94,1971893.57,-9165859.0,-836604.0,-5989611.27,-9843828.0,-6504244.93
12/15/2018,5428210.0,7324627.0,5064038.0,6325505.0,4551363.0,7477095.57,1046830.55,3062990.38,4366132.0,-2350164.0,-5364650.81,-2441495.24,-7968608.0,-8940948.0
6/7/2018,4085142.0,9075063.0,8141352.42,3144965.0,1418378.0,4318644.0,3169903.15,7498459.0,8085074.0,-330790.0,-5238809.0,-3632439.0,-8660212.0,-4093369.0
6/4/2018,6365636.0,8585945.0,5333514.0,307283.23,8625014.0,8381890.0,8564562.0,8040555.75,8094972.47,-7611299.12,-3652218.0,-4287546.26,-2843734.0,-1504869.0
10/14/2018,2866858.0,520887.02,7515038.31,5164216.0,1470861.12,4631080.24,9177986.0,4398975.01,6508333.0,-3849383.0,-6277613.0,-632686.0,-3060515.0,-9919590.0
3/18/2018,893215.95,632390.65,3032963.0,9156302.0,6106348.0,1241678.46,4845467.0,7747942.0,426340.97,-931709.0,-9093117.0,-6987227.0,-3496941.17,-7845677.0
8/28/2018,3480010.0,8565865.0,9505448.0,6668113.0,5221590.0,433659.72,1642584.12,2746119.67,1439185.3,-2599739.69,-3240692.0,-7468993.0,-7638405.5,-1671651.0
8/7/2018,6006806.75,3209586.7,6036368.0,3819104.04,4006717.87,3494643.0,4236940.04,4563165.0,6077646.0,-21920.0,-936219.0,-5405642.23,-4391381.87,-2041303.0
12/14/2018,6905774.0,2548279.6,1169889.61,4945946.77,8394708.0,9813054.0,5659012.24,9054014.0,7800027.8,-8011851.5,-5933283.88,-2551173.0,-5423506.22,-1808489.82
10/4/2018,6981636.37,6066168.65,5642525.0,4646397.0,1437547.94,5945750.73,5981806.92,8144252.02,25753.29,-4224754.0,-1223777.0,-9370857.0,-9986599.0,-477719.0
1/4/2018,9402713.0,8248451.0,7859235.0,1537734.64,9448426.0,662308.37,418257.43,8327010.0,3626276.0,-3040114.0,-5146001.81,-9088312.0,-8246461.98,-3739113.43
6/27/2018,8169584.0,4407273.0,3918456.67,6791007.46,767955.02,4862595.81,6098311.04,621817.25,154433.82,-7192611.0,-5796502.0,-1073285.0,-2743546.0,-1949492.75
10/3/2018,1079660.99,1994627.94,9547260.0,6434885.0,5719721.0,6701635.0,6461873.1,7227432.0,5152042.47,-2935815.39,-2841767.72,-4212228.43,-4291177.0,-5237697.0
10/17/2018,1602284.6,3747498.0,7120022.47,6540482.0,9902010.0,4531983.0,1104107.43,9803160.0,4035172.5,-3980074.0,-1810075.64,-5561811.0,-7715082.0,-8059903.0
4/17/2018,3691679.79,8293655.0,9107809.0,5024941.12,1018510.51,5474859.0,3946948.62,7736943.43,4312446.0,-6974695.0,-4361212.0,-8435896.0,-1650756.78,-5146132.0
9/17/2018,7183995.24,799430.1,8253518.0,8163600.0,2553338.66,5970498.08,4338266.12,1394173.0,3047681.92,-2996775.0,-9793769.0,-3939138.95,-1230513.0,-5144833.0
7/13/2018,1994563.86,7685052.0,9950481.0,9414847.0,3805424.37,7455887.04,81328.63,8848585.0,1219928.33,-2369937.3,-247723.0,-4774728.17,-3342273.47,-8748917.0
6/26/2018,7030217.0,2017573.58,7274516.86,5380271.0,4100345.0,6051076.89,5068212.93,2520135.0,6004547.87,-7460550.0,-6058877.0,-7358238.0,-8766269.0,-338881.0
1/24/2018,7106177.92,4631109.73,7938642.0,1174870.13,6855984.0,822605.13,5650911.0,2784440.64,784503.3,-5272074.18,-5447825.42,-4566864.54,-8170475.96,-6624930.0
