date,inflows_1,inflows_2,inflows_3,inflows_4,inflows_5,inflows_6,inflows_7,inflows_8,inflows_9,total_inflows,outflows_1,outflows_2,outflows_3,outflows_4,outflows_5,total_outflows
1/1/2018,0,$2329306.0,0,4166173.27,320126.23,0,7754464.0,0,7257167.71,249999,-4526218.36,0,0,-1054021.0,-177798.0,-5758037.36
1/2/2018,$9094017.0,6272951.0,0,2420021.0,8024625.0,0,4984642.0,0,8685486.0,872245,-3116161.0,-290787.0,-8326100.0,-2870770.9,-1280519.0,-15884337.9
1/3/2018,0,2687799.78,0,0,4457080.0,0,9788246.0,1898063.37,6848937.0,25680126.15,0,-6264503.0,-9190447.0,-6243207.55,$-7107083.0,834560
1/4/2018,8894093.0,1985405.67,0,895712.02,6974640.0,0,0,0,0,18749850.69,-4147288.41,-8807034.0,-9276153.0,0,-2603620.0,-24834095.41
1/5/2018,3818162.18,0,7904597.0,0,5619448.0,0,6113543.44,4138308.0,$6260628.0,831403,$-7062281.0,-9063572.0,0,-6191115.0,-1778207.0,501426
1/6/2018,0,785413.46,4529361.43,8664034.0,$3286705.0,6711096.27,0,8836060.0,0,437284,0,-6506510.0,0,-8602426.0,-1745895.0,-16854417.0
1/7/2018,$6581609.0,5334351.49,720642.2,4633018.0,$6464856.97,0,2453507.31,6511878.0,9319023.0,634164,-7561196.0,-4255979.6,0,-3033984.0,-9370812.0,-24221246.6
1/8/2018,0,6698281.0,3185198.62,0,0,0,9773467.0,3815309.0,5657289.82,29129545.44,0,-9524847.0,-3387120.0,-1613425.0,-492384.0,-15017776.0
1/9/2018,8424382.0,0,1542380.0,6400790.02,5767404.77,4471225.8,3374449.65,2095929.98,0,32076562.22,-5541488.0,-378165.0,0,$-6659733.45,-4205938.0,608654
1/10/2018,0,4548951.0,0,$702802.36,7975010.0,8761149.0,0,0,0,369416,-666801.0,0,-556803.0,-8588128.0,0,-9811732.0
1/11/2018,7854529.76,5330186.72,0,0,0,0,0,1692371.72,5403075.0,20280163.2,0,-2798410.0,0,-3148690.0,0,-5947100.0
1/12/2018,2762897.54,796767.55,0,0,1763607.59,7207338.0,1879220.03,9752403.0,5156291.0,29318524.71,-1749724.0,-7716969.11,-86645.0,0,-5126930.0,-14680268.11
1/13/2018,0,1073533.0,5960311.72,3747439.0,0,0,0,0,0,10781283.72,0,-5151188.0,-9387598.0,0,-4217586.75,-18756372.75
1/14/2018,0,8281993.0,3660968.05,430489.78,752782.05,592329.15,4521313.0,9224795.0,5936361.24,33401031.27,-7115980.0,-6081889.0,-7156090.27,-1162606.0,0,-21516565.27
1/15/2018,0,0,727920.79,0,5890798.0,1768398.38,3110451.94,5904364.86,2789276.35,20191210.32,-5993757.0,0,-8008167.0,0,0,-14001924.0
1/16/2018,7805612.26,0,8230361.0,4001524.04,3515542.82,0,0,9912737.0,4651746.0,38117523.12,0,0,-9302040.0,-1137585.0,-7114019.0,-17553644.0
1/17/2018,7713850.59,0,8588914.0,546264.18,0,0,0,9422964.0,3914191.0,30186183.77,0,-7491832.0,$-3396884.0,-6047484.0,-7505816.0,90275
1/18/2018,1583201.53,9409364.0,2223184.0,4149460.09,9235942.0,0,5479827.59,0,5374199.0,37455178.21,0,-3200416.86,-117646.0,0,0,-3318062.86
1/19/2018,8699389.0,4122149.7,0,0,0,0,3346038.49,7964077.15,1432697.0,25564958.34,-7805604.0,-8176133.91,-781970.0,0,-9205244.0,-25968344.91
1/20/2018,7642552.0,712353.27,7760327.0,3164805.0,0,2706945.13,7905745.37,7571013.17,3092045.08,40555786.02,0,0,0,-6629104.0,-2850206.24,-9479310.24
1/21/2018,8431319.0,4113858.85,9913661.0,6715864.0,3298300.21,2103863.0,7990258.0,8597440.0,956358.05,52120922.11,-876373.0,0,-4127809.0,0,-9572305.0,-14576487.0
1/22/2018,1931722.81,0,1217311.53,0,8593459.0,0,0,8725942.0,3781807.15,24250242.49,-4623543.0,-101781.0,-4668541.92,-5266440.11,-6672370.43,-21332676.46
1/23/2018,7247889.0,9408129.0,0,0,0,4877117.0,0,0,3455566.0,24988701.0,0,-5117920.86,-4251382.74,-6826414.0,0,-16195717.6
1/24/2018,7548643.0,9587471.0,1255267.58,0,2023245.29,2274962.37,5424811.87,$9856756.0,5783566.0,142512,0,0,0,-6676787.27,-9730401.0,-16407188.27
1/25/2018,3547418.09,9170885.0,7700330.82,$2147040.9,4688093.9,1219817.19,4692157.52,2546109.0,3849932.73,425039,-489603.0,-7399707.85,0,0,-7433576.0,-15322886.85
